# Generated by tools/wikidata-sweep.js — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 4538 channels, swept 2026-08-16.
#
# Next:  node tools/add-candidates.js catalog/reach-12.txt

UC6iEnr37P8gclVfL52xbDtg  # Tad Damron
UCk5S489ggSns8_heoM-d_dA  # Tad Damron
UCgcj23BHQ72XXl1bvG3_n5Q  # Cinderheart
UC2-V0rEZF_uxDSUxeRxov5Q  # Jayden McNeill
UCgo7k0Oq88UBCi_Won67JTA  # Edward Zo
UCI-I97KVE2asYlAKqCuA-hQ  # Keaton Edmund
UCjpJGHkOgDDe3mYYuYT1EdA  # Sheraki
UCZqPgvEWINmmtDnVPqDSBaQ  # John Dassieu
UC9yI_-mADLDIIfYpEJQSc0Q  # Andrew J. Yang
UC9Uwqzg7rOPRquy4Rr-E9gQ  # Trevor Salter
UCy_-s5_BLHz3XnIypZ-4Hvw  # Michael Boahen
UCpHeDUs91mhDqtTFl4A0P6w  # Rob Diamond
UCiEH-LRDhoMd6vQG_Vh81WQ  # PSL
UCICsKJZio5a2MXUnX3O6caA  # Hard Target
UCJY_XqFUx3T6dIc_6wJIX5A  # Michael Keenan
UCNCndi0HfC7zhNtv3I-OFvw  # AZETE
UCHJTZ3U1cZ5CIsQCFVmn69A  # The Medium
UCmB5SadeA_mJM_kGB8acr6A  # The Medium
UCcwIvtXra2eNw6Eo2f49hVw  # Iyanna Mayweather
UCjzi56cxvmEDwjo1Bd2Yxpg  # The Electric Viking
UC1xkrycozgUqLLCmwSSGAdA  # Freddy Charles Reinert
UCDwe5YNKefeNGPiKiv3LYMg  # Ray Volpe
UCNAYpWxeBuR_KbOk_5LMsgQ  # Joanna Kristeva
UCe75c52LwTMFxV7KlzLGp6g  # Braxton Norwood
UCwrOSDW1Rt41sUqCGh85caw  # Bruno Souza
UCR8SQRAvdPQvchUO9ZtB0PQ  # Nick Quintero
UCZJgMAoS30yYoLOYUe_lAXQ  # Retro Space HD
UCMih4kAmpGScyesYOZYG8aA  # Deepak Shukla
UCv7lunPaaL0a7Twc8Ppyg6Q  # Grace Todd
UCmeSM-9pmhzaKsKE1NM6ngQ  # Q114443933
UCh2dnrLCNHDS2IV9I2R58Pw  # Hazegrayart
UCV7oGY4IMBxBZr8KSJGqYWQ  # Reaper
UCsUT8Buuv1_7C0LI_GW-jQA  # Alison Levin-Rector
UCZmyDOOPpOOOzwaZDqZYx8Q  # Levi Batkin
UCFNKfsUWp3Whi1zql-L5bqQ  # Michael Beach Nichols
UCKlbBAV8_SZsZtjh2M9VxhA  # Direct
UCWkb5SxPoQBx6bPOkSK-Xzg  # Sheona McDonald
UCORMCwP382POR7sRoNGHdAw  # Caroline Nadeau
UCNSFsggTRa0dqM-0dOtpdvw  # Oisín Mac
UCC3SZUWJH5xKhHUEn7TLWLw  # Nicky Champa
UCBwrSkcGWpLnDTWl2MMgTHQ  # Rueda Empire
UCxJ1aZhC_ebAto9_CdxX0oQ  # Martin Stankiewicz
UCwTRjvjVge51X-ILJ4i22ew  # Sing King
UCTdPH41UsJZ1zvvjYQBiGgA  # Igor Kireev
UCRiIraJNWPkYzDQX79JbX5Q  # Anna D. Smith
UC93yyi9__eiZj_lgg_HOvKA  # Joshua Thew
UCF_gxHcSIPIyCV31oa1wWpA  # Beluga
UCmSp4bDxS9R0jpeZEvkut2g  # Beluga
UCnfRq6W9j9ylbWz4QhSN0lA  # Beluga
UCLn1tlhKcri_2r7xf5OVlrQ  # Matt Carter
UC7JQfgKpl6A3I0Lq0yd8m7A  # Lenay
UCOSqi6BNm0HDiQAyNFDsaHA  # Shadow of Whales
UCtKuKxynwqxf37_Re0GqWlg  # Roy San Filippo
UCIYmYiurR2vx0IAXqwyohfA  # ModBay
UCTx399ok9y-8pgISurRz6LA  # Daney Mendoza
UCDIvz9YtyAo3UBSplcRPfPw  # Amy Letcher
UCO8ifDmgqMEzMRp4bUxvOUw  # Johanna Wacker
UCfDYzfXlVANxQqbDrU629tQ  # Salina Gavala
UC7Kj2MyNgHLWgHSdnUYH03A  # Zac Oyama
UCneHYHbkZzWFGmw2O7UkhrQ  # Patrick Watson
UCwdPTTFVUR1vevW3MCjhhcw  # Casey Jost
UCjMBXwYynyWjwUNkuZrSN0A  # DH Animations
UCyQYCwtc1KrHZ0doxXDPXPA  # Eric Worre
UClkpjSQx7eOCnow8eu_0W4w  # Rachel Grate
UCN4VqGsSIe2LkyvhhIUZ4qw  # Lee Dawson
UCoD43wPVB9AWTjQHkYWfLgw  # Shaolin
UCUAhTr725fsCHjcO4ttI5CQ  # Elina Loukas
UC_ZZxADAhDQmOMe0fDA_K_Q  # Q115264352
UC-oYqxpi6TO1J7BjQksSuOA  # Q115264352
UC1JfSjsuqn0vKcU9W1g790Q  # Q115264352
UC4PlaGokmSqbKBdYObGLceQ  # Q115264352
UCfoii7sshY_ORCUUOsDheWw  # Q115264352
UCmbKIlovpB4Ks4ZRizj2uLw  # Mark Digital
UC2qHW6oYx1vrSLmlC7RIXHA  # Amio Talio
UCprUXfnlJyvYlJi0c1iWFQA  # CuteBad
UC9LRMpo5IAbl6qWSQ3CXnlA  # Sonido Pesao
UCbwsAia5YPsZS7DJhCf-rPw  # Jjanice+
UCBlH2wf2iaLdcxWyi33G3pQ  # Karen Vogt
UCWpl_BgMnDOZTVvogDTzjLg  # MyVoxSongs Nursery Rhymes
UC2iON4ttM0-UO4jTBmF-qJg  # Lost Battlefields w Tino Struckmann
UCLHH3UGe2GQRmpQeUgtH5Lg  # Aren Bahia
UCNM5-NRrDxL0PWC5H52smaQ  # Edward Avila
UCqVUf1mBQTXsjt53bz_tv6Q  # Carson Allen
UCMYScPa1gUfDgfJmISXOOmQ  # Sophie Lukacs
UC3XRAMCD09lP7zWHXpmg_xQ  # Eliza Noe
UCRavjUnkUcyX1TSFoPNxg6A  # Evan Lamicella
UCTmFvNOQBF-0eL9rjG6m2gg  # Q115479506
UC0ogeffei7r7qH0iCKJ9LIQ  # John Eric
UClgoVl0glqGYDRvEdsDvWIQ  # John Eric
UCR_FXwEJQ8qF2W-qPBrHAOQ  # John Mateer
UCyYlVFMU-vzss5N1s9y02Bg  # White Horse Guitar Club
UCpiBk-WNPE3evenePAKXUJA  # Gentiane Michaud-Gagnon
UCYyOjZgsFfhx13dJlRDolaA  # Andromeda Turre
UCn73zGRxY9p5kRMOAjBBh_w  # Sakuraburst
UCsABDSCjT5b9qmBnPPyidVg  # Naxx Bitota
UCPXPI_rNVuR3DnyB6beMCcQ  # Sam Vicchiollo
UCD-G6Qk8O3ZRnG_9BpXQ-Sw  # Scott Pilkington
UCSn0ZfTSXGVcx_I8B_227EQ  # Jazmin Yvette Gonzalez Luna
UC1mk_YBVPnlNug9rB4q_BGw  # Thaddeus Osborne
UC163mS2HFlhSs2OLkE8jYUQ  # Syga Thomas
UCLY-lL3S30plfkAG3d7HC9Q  # Sergey Rybytskyy
UCP10naGqeA4vL40053w40og  # Sergey Rybytskyy
UCyYohNnDFZT1F13TIQzYwDg  # Sergey Rybytskyy
UCa2KXfnF5WKzFxNjeFJ0Apw  # Fulton Street
UCx5ERAjfcMwu9FCSIiw-eRA  # Lexy Panterra
UCL9cHP0lWR2WoWASkUTz30Q  # Emma Harvey
UCWhW0XJOIJqFXNGYCa2EBsA  # Senaya
UCuhnNwkAF2Ag2XCnOupV4ag  # Andy Ingamells
UC4ZyqMOxL1rwY_2cRqwUfGw  # Nicola Jane Buttigieg
UCJXLLw_UAnOlzCDPeinCkUQ  # Dyan Valdés
UCagO2iLjCS3e6IWp9jXPpqw  # Bizou
UCqoSyiFPnlVE_g6dBTHGFTQ  # Bizou
UChvjsouyJhSrEo5qqpV01IA  # Dr. Jennifer Levine
UCZN2w4T89A-XYp7R6o7rrtw  # Bizzy Banks
UCkbrlVKUj1hjQ9Bat0CvJLQ  # Ethan Schulteis
UC0lF130iu3sEb0tsuQkw3gQ  # Kai Post
UCsZFVkVjZJxryn18v4e1ohg  # Robert A. Glover
UCUw8sE9MZ05QorEPlzmupoA  # Patrick Takaya Solomon
UCfIqCzQJXvYj9ssCoHq327g  # How To Make Everything
UCwDGOTu2BjpypT3d_yW_tXQ  # Daniel DeShazer
UCNeojPHQrM6_c5eMRU8JRyA  # Amy Mikhaiel
UC5enaBf2S6wOuJQHJddXpGw  # Rebekah Roth
UCYz_zPMkEBTtzNp-x-aWqGw  # Rebekah Roth
UC9QaV4qJ9m4AiwdAUmr6fnA  # John Wray
UCf0NfJDnlxehjazWIcBPeJg  # A Shadow Within
UCbwKEacCoxs4GKuWfsvXmQw  # James Wragg
UCVdd8YpI4l_UoDxrVWjusHg  # Alec zammitt
UCoal_hpPIPAnWlG-kWHLheA  # Drawfee
UC2CHDyio1EkcIXoGzKs0rJg  # Rooted in Christ
UC2bcF6IiykbmhLlMr0goBFg  # Arsineh Hoonanian
UCTdmo4bXCWD7RAsrbhBEsNw  # Rachel Brockman
UCbqqGrk6R24GUb9aPTqvqVw  # CircusP
UCVQAe3mbYOT0AFY6Zr-xskg  # Daniel Bruce Levin
UCKEHKGXN9i0djB3tGHbfCZg  # iSorrowproductions
UCmKdqsvmV6e7Pwy7N2PMnnA  # iSorrowproductions
UC3f-M9AH8J-JSCw_lDWHyHA  # Daniel Levin
UC4w1YQAJMWOz4qtxinq55LQ  # Level1Techs
UCoVL5m-X_RpAK_Uabb9c5nw  # ALW Research Team
UCvb93-kVesyMSVOBzsb-plQ  # Justin Jin
UCwwRAeGom7bqfckIJYDySEA  # Justin Jin
UC6M6OR1gfdiYR_qsIb0qxjA  # Katie Sigmond
UCt_NLJ4McJlCyYM-dSPRo7Q  # Christian LeBlanc
UCZWk-rh-06Yo7gkbRvJ9hjA  # Catherine Liang
UC9aQaFNktvDQjKjvlsVOWPg  # Sara J. Higdon
UCqAm0UnJfN9L5dYVMIFu6fg  # Joe SD
UCKSYvOSKi3U9OEpBS9jOZQA  # Benjamin Hoffman
UCNVvNLoACSwgVRyvGMk-z2w  # JadenBo5
UCoVgeaU2N24uuSEueWPLEyA  # imylia
UC35Xk20kFQs5y_R5xLGVr2g  # Dani Moreno
UCt__M9cSy0UxzOTkEZMz6DQ  # Livibee
UCL_7gGtC7nIqrerumCYkNHg  # Axeltoss
UC5e_w27Mu1NMZaDWNeXFhpQ  # Kai P. Schoenhals
UCU7pKYhvlPKc9AgGGDI5mRQ  # Matt Pocock
UCTLdXATpxf8LP3riC0_mkKw  # John R. Miles
UCuhOBOekBHHhc50YY3KjIAQ  # Rachel Wong Walker
UCeqc9aYVAZcRQq9Ey0x26AQ  # Hera
UCH-9eDes5uoPBWLbDhelbvw  # Brittany Oldehoff
UCbYJZfsOatmlT4v_4aQWl7A  # Aaron Bradley
UCqH6jS7zzUYFp1K1Qqox72Q  # Miss Excel
UCp25ci2XwTpWJxAX10APISg  # Sandy Howell
UC63nXnAPFfYnjD5Hq4sQ7PA  # Shannon Wiseman
UCsVx0H8LfNRBgeT-7nOS5Ow  # Maddi Lane
UC_49AMU1sR8umdeSgUv0Hbg  # Ian Crossland
UCKg2WKEJ__2s2GHAWRBUrvA  # Ian Crossland
UChmWJzpFZ37qJzEjA1BOxGg  # Sarina Singh
UCjQaxPUZz-1bWYO13z4UzvA  # Alexandra Berube
UCDNWoTJpGXb9X5eM-OKQLww  # Alex and Kellz
UCVkbU9pnowBYfqJPy1oWXng  # Janicka
UCDP05_kNaT6yuBI5ilxKOew  # Scott H. Young
UCTvYEid8tmg0jqGPDkehc_Q  # John Kanell
UCyAIQDlzgEd7_qgMZCPUT5Q  # Michael Greenfield
UCzH5n3Ih5kgQoiDAQt2FwLw  # Michael Greenfield
UCI-hYZs-tbb7vw_KFBW45zA  # Mathilde Robitaille
UCFcXYwcxBb6c1hlCDTmVJIg  # Hany Ishak
UC3LXZChrTMmy9SWATkQgcpg  # Lemoncello
UCbud3TVasXYPnpE1oxBbz6w  # Ms. Bella
UC-SrCCzkGq0wmSAuRs7EBFg  # Milo Rossi
UCK28YaqzSccl0_EMoruyGsw  # Matthew Yang
UCzr-PyKUTPosDadxqMHtoTw  # Joshua Greenfield
UCA_TSSWC4wniQ0GklHQW_6g  # Midnight Tonight
UCmqQsgm_lfNSg2iVlVsRZEA  # Jackson Mahomes
UC6-bCkrTi2yI4cOV77f50dQ  # The Real Poison Ivy
UCyMAjzr5IPXsrUKUBcwVImw  # The Real Poison Ivy
UC-G5QRVD9F228TV6TmVXgXg  # Shray Goel
UCl_ECf8b78JICYnBBMe73vg  # Bea Davies
UCo0wGxt5b_ZlgCqyzPlQGHg  # Daniel Ziesemer
UC4zSowFe8VSG3bqe9M6jgrA  # Julio Mejia
UCNZWyoJL5wDIDUKuF504zWw  # Matt Toth
UCATwLHQwCC-Y22iKegYAQOg  # Ria Pacheco
UCh7yaUSvxtXBlrf3tHfNHRw  # John Dubuc
UC6G_PltrCNPH-4Mw938KlPA  # Sarah Elise Thompson
UCojRqgBdG26ydIOtznE8Mew  # Mike Gorman
UCYYD1nf_XQ7WpfuGoCchvsw  # Jeremy Seth Abramson
UCyzGHKIJjYT-H0x_bzP52SQ  # Goblin
UCQb4XWYdIdgc4-WZiHDP-Cw  # Ian Roberts
UCpqvUOKNgdBYj-Gh0J53t9Q  # Belle Grand Fille
UC6fP84XEsN7UjGjMC0nPF7A  # Ted Eytan
UCraTe3eRdqZOWktkn9Io46w  # Josiah Morgan
UCwjo4NOFAvEsgm004qb1DBg  # Wion
UC-eegKVWEgBCa4OzjnK_PtA  # TLDR News EU
UCTghpz_vODhxU2SyWrbtMGA  # Kamal.
UC1OAPfnLXXvsZ0jb2IBk0Rg  # Christopher Fiola
UC1IjqPOPLEDO5zResbEwWwQ  # Host
UCCPebj9xqGuCyZfscYFG1uw  # Trevor Bell
UCJ14VGr51nr_17hwVIQq_jg  # Danna Richards
UC-ckeMq2VJeo2nCEcKkj8mw  # Stephen Kurkinen
UCx0EktSurMsuZB0IUYEC91g  # Stephen Kurkinen
UCMG4miM6b2OpTCASAXfnBDg  # Luc Carlin
UC478WIld0bYM1QjNPfOqcyg  # Mol Sullivan
UCcYGaiwxGzzfR-sJJJSw9Lw  # Gangs Of Old Ladies
UCpGdL9Sn3Q5YWUH2DVUW1Ug  # Patrick Julianelle
UC_ItCy-BTDCULPpDPlieUKA  # Jennifer Lynn
UCfsP_Rh2ACi1RfrTYGwnOPA  # Hustle Hans
UCGx6Vk0HvhzXvjEU9bDchsQ  # Iliyana Nedkova
UC7LT1U4VB22ERhwvgwQflZw  # Sean Hetherington
UCfeEtpMOINIMqPeK50YYyAw  # Nat Bowen
UCcAcS1q038jXPCnshArw-vw  # Rick Pidcock
UCwWu07c5bXM_cJhYcCkoeqQ  # prettylittleiris
UCKMxIz7CkNwiYAkp2Ia8M_w  # Malcolm Noble
UCYTZmrhGd3eVjk53c2TdHaA  # Tiana Okoye
UCmfI9NLCGiinpor1gitLQJQ  # Christopher Freeze
UCiAewCU1MokCVRweF0pZeiw  # Matt Kuntz
UCTKYaSMNVAfP16CFS-he9Cg  # Pepi Monia
UCuxULhuY9hyythOExIDsnXA  # CCFX
UCGayo2frdZw0irbwV5PSfmQ  # Eve Judith Harow
UCWNkabq-27YBlrTyz0gATDw  # Laurence Love Greed
UCDnYX2jqzQXMST8Yo4NzQZQ  # Vylet Pony
UCs6KfncB4OV6Vug4o_bzijg  # Techlore
UCJvfYDij4k5rFR6EOzWKUMQ  # Lee Joon Wha
UCjCfxkKqKNIt2JMKKYKbFBQ  # Savannah Kay
UCaMt7tcTKAi5SsuQfBoTy5w  # Sylvain Picard
UCGKuU-STpmbWApKYkwmrkkw  # Jean-Philippe Cyr
UCQMScW9nY0IVW3yIdt8kYtg  # Jean-Philippe Cyr
UCow64Y7ADmpRLLG4qDMt1XQ  # Pulsart Trio
UCE4Gn00XZbpWvGUfIslT-tA  # Magnates Media
UCXuY8NGP9RNRyDp1ZFljsZQ  # Jo Cormier
UCuOEQoZ7kf7A7LBRSzoXfgw  # Chris McQueen
UC2fHxxWyNpXTBgufGogzS2w  # Stephen Ulrich
UCvEC0yT9wfuzVGnaSpKK4fg  # John Anthony Watson
UCzc_vKlzszLuGtSV3diAj4g  # Charlie Mccoy
UCXXnPSPb6HFjJE3zMCIQxww  # Calista Carradine
UCK02t49xfDAtak-kDaN7fuQ  # Tayo Ricci
UC_pRHLhgPk8LZmGliGY13og  # Brent Harvey
UCns7blKULTUzfph3IkL_K_Q  # whiteboyem
UCdruRz-kWtIBIzgURq05lzw  # Shelise Ann Sola
UCg3pIlzCdliz5i33m7vURdQ  # Kokayi
UC_zhOcfnv-90wk3PhS8c53w  # Madison Brookshire
UC69ovbEeRhnN6KGYElDa95g  # Flamango Bay
UC7beKCzyYoWxxqsoqtgfwRA  # Peter Vigilante
UCbKazqxVVIT0aIm4ZPR9t4w  # Sydney Daddy
UCZzu2JGOMNNz-UYZ7TERDNg  # Sona Eyambe
UCx6lsBicWnrQUS699LOU_Gg  # Marc-André Pépin
UCNq3Twu_iGJtydOHQVTRsnQ  # Monsoon
UCULzByfbFgO9Ayo1fVrxvYQ  # Pierre Desmarais
UCyYlGTZL-HnnX_UcGkVFH7A  # LeLe Farley
UCqHu_FhQtmdPV1mQyDhM96w  # Kanashii
UCUEEsRJyh5XdwkND7c-ikCQ  # Kieran Biggs
UCsLuUdrcTSNOX9tgdG4ty_A  # Michael Koropisz
UCrunkdoX2gzv_T3U_fOzLsg  # Arnaud Soly
UCEJ-ZVNEVqBOOzmCrfIT9tg  # Tash Frootko
UCNmLvbX9tQbTUqnpbLkfBbQ  # Elana Brody
UCoAwE1zsvWztg40RbKfrNpg  # Christopher Saint Booth
UCaSH_lt0Qc4fO2ygioHt5ww  # Shoshana Jedwab
UC1-b4Zxy9Uwpb0_HERXLV_A  # Taya Mâ Shere
UCvzWGXYFDiiJ338KIJPhbhQ  # Gabriel Christian Brown
UC__7OfCx_GbJ4_XpJuZGFyA  # Shani Lechan
UC7ZI16-kL0-n2lXdsBchkuA  # Stephen J. Tyson
UC2Jk5gGHJNJH4RJW92kP9ag  # Dave Frary
UCdOPzgbosSnbfwd9-iXP2NA  # Vanessa Lau
UCfYBNoLS1d55d5BxienHyXg  # Cesar Cipriano
UCPpATKqmMV-CNRNWYaDUwiA  # Lexi Rivera
UCWfAtaWSk0kAjScw-kESbrg  # Zoey Tess
UC2b-dlU5pDw2Y4EHvKIjQmw  # YOVNGCHIM
UCrO1sdXksb7GqUxpCI0rEOQ  # Ariel Gold
UCjKlg_tKKRO3OdYp-xNEaaw  # Robert Pistillo
UCm0KpMRDxrD8F4qGey2v8mg  # Tatyana Plaksina
UCZu8Db-YhA5j2jKy9oCj6tg  # Wendy Eisenberg
UC1QPUh9gUKVNvaga8I669pw  # Arek the autistic man
UCAi_uNeDWRXj8C8yw358gWw  # Charles Berthoud
UCGaWgPR09Stl2K-FaCpzdkQ  # C.J. Darnieder
UCkdIeMl_1DhRwaD8zGIgOOA  # Colin Landforce
UCSIfhl2LXGqJ3yt7Qrf_WyQ  # Gwhyneth Chen
UCsrVZMcNTa-rwZY3Mg7kxIA  # Hsin-Yun Huang
UCxqakGYVhfGyNlyNGaSMTeg  # Hsin-Yun Huang
UCcSkpmI0xOodh_QI_Vy09tw  # Charles Berthoud
UCz0rAg6eynMNPOlXqhQipFw  # Christall Lowe
UCdacbt11afrliUr4r8Ul73Q  # Anne Tannam
UCppWc7rRJplhJvXlqAcLhXw  # JAC Stringer
UCSx4i84OunMurZxzh23XzCA  # John Henry Richardson
UCObjMOLIl4sYmAMO8140glg  # Mark Vins
UCT7_-S0WcNIIMfrrnmIvw7g  # Brooklyn Benson
UCGy7SkBjcIAgTiwkXEtPnYg  # Andrei Jikh
UC94Z4HZJkhPm94YPH1GE3bw  # Eileen Montgomery
UCHer9nSvUMKVjWrMPFg339Q  # Eileen Montgomery
UCyDz6jNp49WR_nQICwmo5WA  # Eileen Montgomery
UCyiUWbFd7iq-MUu1mkWNMGw  # Eileen Montgomery
UCJ_9v__A6LXO_RYWG_5fpjQ  # Alexander Turk
UCjqzmqKMCktjpxKBg2txLUw  # Alexander Turk
UCMfL7PNZ8GLvoREaYdE74Ag  # Gino Guzzardo
UClEso-4UGEyZbC3nGD19WSA  # Kacie Hill
UCbkFiLRzg8S0iyXgHnAjfdQ  # Dekarldent
UCe-ZNsLfNq0MPx1TBsOUsJg  # Millyz
UCNSpnnpOEOX8p8px-kDRFVA  # CubMutt33
UCxjDKfnd9nxqVIPr7o6Z6Ew  # Your Fearless Leader
UC9edkXTu4qNRtsLKG3qz9nw  # Riley Burke
UCZ2afbeHuGmzK-No6nZIPTA  # Jorge Felico
UCkCHOFqZ2gPwwZgnPB6aUJQ  # Janis Gillham Grady
UC2Oa396bouG_W9VIsBH8cTA  # Akil
UCLZvLalNvTpCem6JrWck6SA  # Jaguardini
UCpxbslkagrN2b9VpfYaw3YA  # Night Teacher
UCFQQo_GMyoB4puUSVAEcxIQ  # LALARY
UCL1CTALyDeWrxCtYjm1glXA  # Eddie V
UCj78Q44WrC5eQrlItuzQFAA  # Meg Bowles
UCon6XEyUWM2dSWZV4OWQs0Q  # United Progressive Fraternity
UCUO8jUgPfjFD-H8Q2LGJkWw  # Jeremy Roux
UCacQhbOscTGBrB5FywPJ0Hw  # RAIE
UCL1xFvFAAooHYWnzNN6fDNQ  # Rakkhita
UCgX_kcAhHCuaDTdjejB1LZQ  # Sanāthavihārī
UCRknYJD_V3gJZo45tJBxtaA  # Cittasaṁvaro
UCgdQfRaMM4j7skZirW1thCQ  # Atulo
UCRyLs7L_pmGbKEUOGC1dfpw  # Atulo
UCxFJivkktIisM6wFxkNFS_Q  # Puṇṇadhammo
UC0cd_-e49hZpWLH3UIwoWRA  # Dave Farina
UChQJMvdH3Is-fw7rVhYd4uA  # David Reynolds
UCpTCN1_x6FqP8ibVvQPVgOA  # Leticia Loera
UCYhuUULECmgoRARKIew6Dcg  # Jordyn Aurora Aquino
UCU_uoafJnb18C1c-qGI7b6Q  # Julian Elia
UC1-yHZcaml1m7T4VDzb_syQ  # James Reynolds
UCBnP1CVHX9nE-a8mwTNosmw  # Q119361884
UCllhTj21FuAbLSTZYbNOqNA  # Anita Grace Brown
UCtRBzb50DmQjeS-i2eDTqcQ  # Tsailii Rogers
UCkaqCFwV8djQJyGiG1t1Mmg  # Imani Outlaw
UCExDLAWQ5eL3Vc816rC_pTg  # Peter Fairlie
UC9iAbu3zhcWwv4vOkTtFbYw  # Sarah Wood Vallely
UC5idZRTGvE_8Ck0-gRBTghg  # Sarah Jane Wood
UCbBR9BRPEV45LpqSrTp9_Zg  # Devin Todd Millar
UCTcg1oH0eR-xfbRAx_fRKSQ  # R.O.Z
UCLSNYwpK3g2yjMcJZjlRNdg  # Cupahnoodle
UCxyoyRp1-fJNrKJuFBDr6hg  # Ben Vanik
UCIYfr5VtTQlfGM8O50Pk3Og  # Romain Pison
UCdVXk-iDlcz0E3fNRjfivWw  # Courtney Miller
UCOP0TH7EBZAJ-hHN20ppWzg  # Patrick Ponce
UCNxuzUNIE0hgmq2K-d3UXeg  # Matt Easton
UC-RJWBAnMtDDjB4Es5D3ojQ  # Rain Frances
UCW2z_ECJL2jpuRjj5qlt66A  # Rain Frances
UC8-6XpEVJysG6b33WopNo5A  # Vision Solitude
UCNVlonqyQpG0OTMT4VVdTPQ  # Stormy Wellington
UCCzYzjnDBDZaS5-yRPwdCyQ  # Carla Monaco
UC9sZ_tSO877oA0B2HUJQEAw  # Neil Hellegers
UCNgUkxmzqVbsUiietBd5mCw  # Heather Richards
UCGaCbdq_O2KuAhNMFTZ8Msg  # Aron Accurso
UC1-0VA99aEFk8MLOSrZvWKQ  # cscoop
UCC8sUDdQ8qKcPVcuwhouLew  # cscoop
UCFSnAipx-2xRlR-209Rz5cA  # cscoop
UCHd84KwLebMoChanSOmxJXA  # cscoop
UC1cNxr02VWPiY06o-a7l2Tg  # Thomas Peter Laue
UCBAZBtAPtXQiFgeoFR8CbsA  # Mark Lewis
UCiirJUVA2GbuW5_JFqzx7lQ  # Jere Metcalf
UCFDRewJPEsyjQMW9CrRMpcg  # Jason Bravura
UCqI18QLnH1m8kwS1_m7JdXQ  # Baby Gronk
UC5zghVhlruTkTBnQZZtZVXw  # Gab Paquet
UClos_WI4_mbhewZGVeCymug  # Mark Edward Lewis
UC986e-E34mIQkwJSUkwqsFg  # Mark D. Lewis
UCyAZBHmRaer22eQyPdB9wxw  # Mark Lewis
UCuT8LOA5MMtG-z7vMoCut5A  # Kristen Rakes
UCJiUi_xWryHnRA2GZ12fkXQ  # Dead Billionaires
UCmwiWQwe73pgJlv7M3MX2Nw  # Jean Menzies
UCc6NEq5f9siLf_i2m9kYkKQ  # Chœur Solis
UCd2t5VvH7_dd_UKFgNGnBBA  # Mara's Torment
UCGz-h7TS_EDmAMC6iXy1CUg  # Omotayo Ayomide Segun-Omosehin
UCoMNgyor1h4TtRHS0wMnP-g  # Marcus Davidson
UCh6q29nrlpmleHH3pPrFrXg  # Becka McFadden
UCfPwC_iIuui_YE_RnVWOxtA  # Elle Barbara
UCZVEkNbtq8XCrA16iS35_PQ  # Patrick Brown
UCn9PBaPbg--Z1DHVUDcy5lQ  # Oscar Jerome
UCTB9i7lyQR3JWhFWeUWOpSg  # Shane Comer
UC0jeMaqeDeWsXtb36FuQNBg  # Anna Laclergue
UCvZgp9cvnS3P_T7KsfrgOyg  # Gateway Worship Español
UCZE14ESAwcmuJ9FcLqLHIHQ  # Jim Tolpin
UCFuCZ_8LFQa2wTbt-RIWUBQ  # Boy Golden
UC36UM7Uc9DP_8g1MYoPYHSw  # Carter Felker
UCiKwq3BstVSNb0sIp7SDWuA  # Arun O'Connor
UC_-N4v64mqjSNfRL4exoMsw  # Whitney Bensfield
UCraenXEn9j_hR4oCscVILmA  # Brandy Gordon
UCpLrvlG0txbU_mwhgDgNEXQ  # Black in China
UC_R_Bu2tIL1LJI6A9awjhJg  # Lilli Luxe
UC7IU1UPfyEn3AdKQ5MR_c2Q  # Nikolay Moss
UC6ophloRu81gJfsX1uIipAw  # Mohammad Saeid Moala
UCsby26xu31XBjF8OAvav8ow  # King Abid
UC_fiSXsgDVMLDmExLohAYIA  # Kezia Noble
UCz0EZ0-q8IHFkPshig1Eq8Q  # Lee Kholafai
UCDAaED3Xz4Nfhu-pnJKoImA  # Jarrod Factor
UC-qQ9UW2YDawzcUqnrJkuxw  # Anton Thomas
UCPUf7wd4L6dI43rPnbKPkoA  # Amanda Keesmaat
UCOoSOai4dx91wsPu4dyZUfw  # Kurt Koehler
UCLqT4KR0MlJmGP42PnclZDg  # Goodnight Daniel
UCzRJ0x_piZ-VtJq8ncLGnuQ  # Cojum Dip
UCHhBS1OQO9PAyDj-c0BBLFA  # Kristian Ventura
UCtDEoP-DJIz3pX06HtlGviw  # Adom
UC_R7XYJaRg28mkFW0HF33cg  # David R. Boulton
UCBJ0HudwNd1-twO_wL3GNdg  # David R. Boulton
UCUfnS_RWG08dhBtLSd4ry3Q  # Ari Matsumura
UCnmBQ-xljEhtCJH79EQEzlQ  # Karim Allana
UCz0HITWbcUYEHi3TZXTyFrw  # Bruce Rivers
UCcZVksAzeSVlW3zNlwZSmJw  # Q121540545
UCyVttxb4-zHo62CB4lwvMXg  # Allison Young
UCJCgaQzY5z5sA-xwkwibygw  # Rachel Lee-Anderson
UC3ukSsb6HneNMUaHDNWgrpQ  # DRE HILL
UC7A1BSk2HXBNwqeNMwffVXA  # George Raya
UC6uKrU_WqJ1R2HMTY3LIx5Q  # Everyday Astronaut
UChIlPqXi60mWGGKeSqfrS6g  # Mirra Tubiolo
